Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-0.004791833,0,1,1,1,1,1,1,1
-0.000000000,1,1,1,1,1,1,1,1
0.004936500,0,1,1,1,1,1,1,1
0.013161083,1,1,1,1,1,1,1,1
0.014806083,0,1,1,1,1,1,1,1
0.019742750,1,1,1,1,1,1,1,1
0.064175417,0,1,1,1,1,1,1,1
0.065820167,1,1,1,1,1,1,1,1
0.067464667,0,1,1,1,1,1,1,1
0.069109000,1,1,1,1,1,1,1,1
0.070753583,0,1,1,1,1,1,1,1
0.080618750,1,1,1,1,1,1,1,1
0.083909000,0,1,1,1,1,1,1,1
0.085554167,1,1,1,1,1,1,1,1
0.088846167,0,1,1,1,1,1,1,1
0.090492000,1,1,1,1,1,1,1,1
0.092137917,0,1,1,1,1,1,1,1
0.098721333,1,1,1,1,1,1,1,1
0.103658167,0,1,1,1,1,1,1,1
0.111886583,1,1,1,1,1,1,1,1
0.113532250,0,1,1,1,1,1,1,1
0.118469083,1,1,1,1,1,1,1,1
0.162902833,0,1,1,1,1,1,1,1
0.164548417,1,1,1,1,1,1,1,1
0.166194083,0,1,1,1,1,1,1,1
0.167839417,1,1,1,1,1,1,1,1
0.169484917,0,1,1,1,1,1,1,1
0.179359667,1,1,1,1,1,1,1,1
0.182651750,0,1,1,1,1,1,1,1
0.184297583,1,1,1,1,1,1,1,1
0.187588833,0,1,1,1,1,1,1,1
0.189233917,1,1,1,1,1,1,1,1
0.190879417,0,1,1,1,1,1,1,1
0.197460750,1,1,1,1,1,1,1,1
0.202396333,0,1,1,1,1,1,1,1
0.210623750,1,1,1,1,1,1,1,1
0.212269250,0,1,1,1,1,1,1,1
0.217204917,1,1,1,1,1,1,1,1
0.261742417,0,1,1,1,1,1,1,1
0.263387083,1,1,1,1,1,1,1,1
0.265031500,0,1,1,1,1,1,1,1
0.266675667,1,1,1,1,1,1,1,1
0.268320417,0,1,1,1,1,1,1,1
0.278191000,1,1,1,1,1,1,1,1
0.281481333,0,1,1,1,1,1,1,1
0.283127000,1,1,1,1,1,1,1,1
0.286418500,0,1,1,1,1,1,1,1
0.288064500,1,1,1,1,1,1,1,1
0.289709917,0,1,1,1,1,1,1,1
0.296293083,1,1,1,1,1,1,1,1
0.301230583,0,1,1,1,1,1,1,1
0.309459250,1,1,1,1,1,1,1,1
0.311105000,0,1,1,1,1,1,1,1
0.316042917,1,1,1,1,1,1,1,1
0.360476333,0,1,1,1,1,1,1,1
