Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-0.019178250,1,1,1,1,1,1,1,1
-0.001647667,0,1,1,1,1,1,1,1
0.000000000,1,1,1,1,1,1,1,1
0.001647500,0,1,1,1,1,1,1,1
0.003294750,1,1,1,1,1,1,1,1
0.004941833,0,1,1,1,1,1,1,1
0.014825500,1,1,1,1,1,1,1,1
0.018120583,0,1,1,1,1,1,1,1
0.019767917,1,1,1,1,1,1,1,1
0.026357500,0,1,1,1,1,1,1,1
0.034592750,1,1,1,1,1,1,1,1
0.037886417,0,1,1,1,1,1,1,1
0.042826333,1,1,1,1,1,1,1,1
0.044473333,0,1,1,1,1,1,1,1
0.046120083,1,1,1,1,1,1,1,1
0.047767167,0,1,1,1,1,1,1,1
0.054352917,1,1,1,1,1,1,1,1
0.097256250,0,1,1,1,1,1,1,1
0.098902917,1,1,1,1,1,1,1,1
0.100549250,0,1,1,1,1,1,1,1
0.102195667,1,1,1,1,1,1,1,1
0.103842667,0,1,1,1,1,1,1,1
0.113720083,1,1,1,1,1,1,1,1
0.117011167,0,1,1,1,1,1,1,1
0.118657500,1,1,1,1,1,1,1,1
0.125242083,0,1,1,1,1,1,1,1
0.133473167,1,1,1,1,1,1,1,1
0.136767167,0,1,1,1,1,1,1,1
0.141706833,1,1,1,1,1,1,1,1
0.143353250,0,1,1,1,1,1,1,1
0.144999750,1,1,1,1,1,1,1,1
0.146645833,0,1,1,1,1,1,1,1
0.153228667,1,1,1,1,1,1,1,1
0.196130500,0,1,1,1,1,1,1,1
0.197776750,1,1,1,1,1,1,1,1
0.199423333,0,1,1,1,1,1,1,1
0.201070000,1,1,1,1,1,1,1,1
0.202716500,0,1,1,1,1,1,1,1
0.212594167,1,1,1,1,1,1,1,1
0.215886583,0,1,1,1,1,1,1,1
0.217532583,1,1,1,1,1,1,1,1
0.224119000,0,1,1,1,1,1,1,1
0.232351167,1,1,1,1,1,1,1,1
0.235643667,0,1,1,1,1,1,1,1
0.240584000,1,1,1,1,1,1,1,1
0.242230750,0,1,1,1,1,1,1,1
0.243877083,1,1,1,1,1,1,1,1
0.245523417,0,1,1,1,1,1,1,1
0.252107917,1,1,1,1,1,1,1,1
0.294901667,0,1,1,1,1,1,1,1
0.296547417,1,1,1,1,1,1,1,1
0.298193500,0,1,1,1,1,1,1,1
0.299839750,1,1,1,1,1,1,1,1
0.301485917,0,1,1,1,1,1,1,1
0.311362333,1,1,1,1,1,1,1,1
0.314655083,0,1,1,1,1,1,1,1
0.316301500,1,1,1,1,1,1,1,1
0.322890500,0,1,1,1,1,1,1,1
0.331125417,1,1,1,1,1,1,1,1
0.334419917,0,1,1,1,1,1,1,1
0.339361250,1,1,1,1,1,1,1,1
0.341007750,0,1,1,1,1,1,1,1
0.342654583,1,1,1,1,1,1,1,1
0.344302583,0,1,1,1,1,1,1,1
0.350891250,1,1,1,1,1,1,1,1
0.393671500,0,1,1,1,1,1,1,1
0.395316667,1,1,1,1,1,1,1,1
0.396962333,0,1,1,1,1,1,1,1
0.398607750,1,1,1,1,1,1,1,1
0.400253167,0,1,1,1,1,1,1,1
0.410127333,1,1,1,1,1,1,1,1
0.413421583,0,1,1,1,1,1,1,1
0.415068417,1,1,1,1,1,1,1,1
0.421656750,0,1,1,1,1,1,1,1
0.429892167,1,1,1,1,1,1,1,1
0.433185500,0,1,1,1,1,1,1,1
0.438124667,1,1,1,1,1,1,1,1
0.439770583,0,1,1,1,1,1,1,1
0.441416833,1,1,1,1,1,1,1,1
0.443062667,0,1,1,1,1,1,1,1
0.449647500,1,1,1,1,1,1,1,1
0.492449000,0,1,1,1,1,1,1,1
0.494095417,1,1,1,1,1,1,1,1
0.495741583,0,1,1,1,1,1,1,1
0.497387417,1,1,1,1,1,1,1,1
0.499033500,0,1,1,1,1,1,1,1
0.508903750,1,1,1,1,1,1,1,1
0.512193833,0,1,1,1,1,1,1,1
0.513838333,1,1,1,1,1,1,1,1
0.520419333,0,1,1,1,1,1,1,1
0.528646250,1,1,1,1,1,1,1,1
0.531937000,0,1,1,1,1,1,1,1
0.536872083,1,1,1,1,1,1,1,1
0.538517000,0,1,1,1,1,1,1,1
0.540162167,1,1,1,1,1,1,1,1
0.541807083,0,1,1,1,1,1,1,1
0.548387833,1,1,1,1,1,1,1,1
0.591271833,0,1,1,1,1,1,1,1
0.592917917,1,1,1,1,1,1,1,1
0.594563667,0,1,1,1,1,1,1,1
0.596209083,1,1,1,1,1,1,1,1
0.597855167,0,1,1,1,1,1,1,1
0.607733167,1,1,1,1,1,1,1,1
0.611025417,0,1,1,1,1,1,1,1
0.612671167,1,1,1,1,1,1,1,1
0.619256583,0,1,1,1,1,1,1,1
0.627488750,1,1,1,1,1,1,1,1
0.630782333,0,1,1,1,1,1,1,1
0.635720167,1,1,1,1,1,1,1,1
0.637366000,0,1,1,1,1,1,1,1
0.639011750,1,1,1,1,1,1,1,1
0.640657750,0,1,1,1,1,1,1,1
0.647238667,1,1,1,1,1,1,1,1
0.690041083,0,1,1,1,1,1,1,1
0.691689417,1,1,1,1,1,1,1,1
0.693337000,0,1,1,1,1,1,1,1
0.694984250,1,1,1,1,1,1,1,1
0.696631333,0,1,1,1,1,1,1,1
0.706517000,1,1,1,1,1,1,1,1
0.709812417,0,1,1,1,1,1,1,1
0.711460167,1,1,1,1,1,1,1,1
0.718046833,0,1,1,1,1,1,1,1
0.726279667,1,1,1,1,1,1,1,1
0.729573000,0,1,1,1,1,1,1,1
0.734506833,1,1,1,1,1,1,1,1
0.736153833,0,1,1,1,1,1,1,1
0.737800083,1,1,1,1,1,1,1,1
0.739446583,0,1,1,1,1,1,1,1
0.746032333,1,1,1,1,1,1,1,1
0.788829667,0,1,1,1,1,1,1,1
0.790474250,1,1,1,1,1,1,1,1
0.792119000,0,1,1,1,1,1,1,1
0.793763667,1,1,1,1,1,1,1,1
0.795408417,0,1,1,1,1,1,1,1
0.805282250,1,1,1,1,1,1,1,1
0.808574500,0,1,1,1,1,1,1,1
0.810220750,1,1,1,1,1,1,1,1
0.816807167,0,1,1,1,1,1,1,1
0.825036167,1,1,1,1,1,1,1,1
0.828327750,0,1,1,1,1,1,1,1
0.833265167,1,1,1,1,1,1,1,1
0.834910917,0,1,1,1,1,1,1,1
0.836556333,1,1,1,1,1,1,1,1
0.838202083,0,1,1,1,1,1,1,1
0.844784167,1,1,1,1,1,1,1,1
0.887683417,0,1,1,1,1,1,1,1
0.889329333,1,1,1,1,1,1,1,1
0.890976000,0,1,1,1,1,1,1,1
0.892622083,1,1,1,1,1,1,1,1
0.894268000,0,1,1,1,1,1,1,1
0.904143167,1,1,1,1,1,1,1,1
0.907435833,0,1,1,1,1,1,1,1
0.909082167,1,1,1,1,1,1,1,1
0.915669167,0,1,1,1,1,1,1,1
0.923905417,1,1,1,1,1,1,1,1
0.927201500,0,1,1,1,1,1,1,1
0.932144167,1,1,1,1,1,1,1,1
0.933791750,0,1,1,1,1,1,1,1
0.935439333,1,1,1,1,1,1,1,1
0.937086667,0,1,1,1,1,1,1,1
0.943676500,1,1,1,1,1,1,1,1
