Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-0.028715167,1,1,1,1,1,1,1,1
-0.001644250,0,1,1,1,1,1,1,1
0.000000000,1,1,1,1,1,1,1,1
0.001643417,0,1,1,1,1,1,1,1
0.003287167,1,1,1,1,1,1,1,1
0.004931417,0,1,1,1,1,1,1,1
0.014794750,1,1,1,1,1,1,1,1
0.018081333,0,1,1,1,1,1,1,1
0.019725333,1,1,1,1,1,1,1,1
0.021369083,0,1,1,1,1,1,1,1
0.024657417,1,1,1,1,1,1,1,1
0.026302167,0,1,1,1,1,1,1,1
0.034524167,1,1,1,1,1,1,1,1
0.037811750,0,1,1,1,1,1,1,1
0.041098333,1,1,1,1,1,1,1,1
0.046028833,0,1,1,1,1,1,1,1
0.052604417,1,1,1,1,1,1,1,1
0.097088500,0,1,1,1,1,1,1,1
0.098733000,1,1,1,1,1,1,1,1
0.100377417,0,1,1,1,1,1,1,1
0.102021583,1,1,1,1,1,1,1,1
0.103665417,0,1,1,1,1,1,1,1
0.113527583,1,1,1,1,1,1,1,1
0.116814750,0,1,1,1,1,1,1,1
0.118458500,1,1,1,1,1,1,1,1
0.120102083,0,1,1,1,1,1,1,1
0.123389500,1,1,1,1,1,1,1,1
0.125033500,0,1,1,1,1,1,1,1
0.133251750,1,1,1,1,1,1,1,1
0.136539250,0,1,1,1,1,1,1,1
0.139828083,1,1,1,1,1,1,1,1
0.144761083,0,1,1,1,1,1,1,1
0.151336833,1,1,1,1,1,1,1,1
0.195712000,0,1,1,1,1,1,1,1
0.197356250,1,1,1,1,1,1,1,1
0.199000000,0,1,1,1,1,1,1,1
0.200643500,1,1,1,1,1,1,1,1
0.202287333,0,1,1,1,1,1,1,1
0.212151417,1,1,1,1,1,1,1,1
0.215439583,0,1,1,1,1,1,1,1
0.217083750,1,1,1,1,1,1,1,1
0.218728083,0,1,1,1,1,1,1,1
0.222016250,1,1,1,1,1,1,1,1
0.223660667,0,1,1,1,1,1,1,1
0.231879583,1,1,1,1,1,1,1,1
0.235168500,0,1,1,1,1,1,1,1
0.238455417,1,1,1,1,1,1,1,1
0.243386417,0,1,1,1,1,1,1,1
0.249962917,1,1,1,1,1,1,1,1
0.294365333,0,1,1,1,1,1,1,1
0.296010583,1,1,1,1,1,1,1,1
0.297655583,0,1,1,1,1,1,1,1
0.299300250,1,1,1,1,1,1,1,1
0.300945083,0,1,1,1,1,1,1,1
0.310813167,1,1,1,1,1,1,1,1
0.314101167,0,1,1,1,1,1,1,1
0.315744667,1,1,1,1,1,1,1,1
0.317389417,0,1,1,1,1,1,1,1
0.320678917,1,1,1,1,1,1,1,1
0.322322833,0,1,1,1,1,1,1,1
0.330541083,1,1,1,1,1,1,1,1
0.333829083,0,1,1,1,1,1,1,1
0.337116250,1,1,1,1,1,1,1,1
0.342048000,0,1,1,1,1,1,1,1
0.348626500,1,1,1,1,1,1,1,1
0.393151500,0,1,1,1,1,1,1,1
0.394797417,1,1,1,1,1,1,1,1
0.396443417,0,1,1,1,1,1,1,1
0.398089167,1,1,1,1,1,1,1,1
0.399734833,0,1,1,1,1,1,1,1
0.409605167,1,1,1,1,1,1,1,1
0.412892833,0,1,1,1,1,1,1,1
0.414536833,1,1,1,1,1,1,1,1
0.416180917,0,1,1,1,1,1,1,1
0.419470500,1,1,1,1,1,1,1,1
0.421115667,0,1,1,1,1,1,1,1
0.429339417,1,1,1,1,1,1,1,1
0.432628083,0,1,1,1,1,1,1,1
0.435915917,1,1,1,1,1,1,1,1
0.440848583,0,1,1,1,1,1,1,1
0.447420417,1,1,1,1,1,1,1,1
0.491803417,0,1,1,1,1,1,1,1
0.493448500,1,1,1,1,1,1,1,1
0.495094000,0,1,1,1,1,1,1,1
0.496739167,1,1,1,1,1,1,1,1
0.498384583,0,1,1,1,1,1,1,1
0.508256583,1,1,1,1,1,1,1,1
0.511546667,0,1,1,1,1,1,1,1
0.513191833,1,1,1,1,1,1,1,1
0.514836917,0,1,1,1,1,1,1,1
0.518125417,1,1,1,1,1,1,1,1
0.519770167,0,1,1,1,1,1,1,1
0.527991500,1,1,1,1,1,1,1,1
0.531280250,0,1,1,1,1,1,1,1
0.534568667,1,1,1,1,1,1,1,1
0.539500750,0,1,1,1,1,1,1,1
0.546075917,1,1,1,1,1,1,1,1
0.590554583,0,1,1,1,1,1,1,1
0.592198167,1,1,1,1,1,1,1,1
0.593841500,0,1,1,1,1,1,1,1
0.595485000,1,1,1,1,1,1,1,1
0.597129250,0,1,1,1,1,1,1,1
0.606993917,1,1,1,1,1,1,1,1
0.610282417,0,1,1,1,1,1,1,1
0.611926167,1,1,1,1,1,1,1,1
0.613570333,0,1,1,1,1,1,1,1
0.616858167,1,1,1,1,1,1,1,1
0.618502083,0,1,1,1,1,1,1,1
0.626723167,1,1,1,1,1,1,1,1
0.630011167,0,1,1,1,1,1,1,1
0.633299750,1,1,1,1,1,1,1,1
0.638232417,0,1,1,1,1,1,1,1
0.644809167,1,1,1,1,1,1,1,1
0.689193000,0,1,1,1,1,1,1,1
0.690837167,1,1,1,1,1,1,1,1
0.692482167,0,1,1,1,1,1,1,1
0.694126667,1,1,1,1,1,1,1,1
0.695771750,0,1,1,1,1,1,1,1
0.705637417,1,1,1,1,1,1,1,1
0.708926000,0,1,1,1,1,1,1,1
0.710570750,1,1,1,1,1,1,1,1
0.712215667,0,1,1,1,1,1,1,1
0.715506250,1,1,1,1,1,1,1,1
0.717151583,0,1,1,1,1,1,1,1
0.725374333,1,1,1,1,1,1,1,1
0.728663500,0,1,1,1,1,1,1,1
0.731952500,1,1,1,1,1,1,1,1
0.736886583,0,1,1,1,1,1,1,1
0.743466250,1,1,1,1,1,1,1,1
0.787860583,0,1,1,1,1,1,1,1
0.789505667,1,1,1,1,1,1,1,1
0.791150667,0,1,1,1,1,1,1,1
0.792796167,1,1,1,1,1,1,1,1
0.794441500,0,1,1,1,1,1,1,1
0.804310750,1,1,1,1,1,1,1,1
0.807601500,0,1,1,1,1,1,1,1
0.809246833,1,1,1,1,1,1,1,1
0.810892083,0,1,1,1,1,1,1,1
0.814182417,1,1,1,1,1,1,1,1
0.815827750,0,1,1,1,1,1,1,1
0.824050167,1,1,1,1,1,1,1,1
0.827336833,0,1,1,1,1,1,1,1
0.830625000,1,1,1,1,1,1,1,1
0.835556917,0,1,1,1,1,1,1,1
0.842132000,1,1,1,1,1,1,1,1
0.886621083,0,1,1,1,1,1,1,1
0.888266250,1,1,1,1,1,1,1,1
0.889910917,0,1,1,1,1,1,1,1
0.891555750,1,1,1,1,1,1,1,1
0.893200667,0,1,1,1,1,1,1,1
0.903067833,1,1,1,1,1,1,1,1
0.906355000,0,1,1,1,1,1,1,1
0.907998750,1,1,1,1,1,1,1,1
0.909642250,0,1,1,1,1,1,1,1
0.912929833,1,1,1,1,1,1,1,1
0.914574083,0,1,1,1,1,1,1,1
0.922792750,1,1,1,1,1,1,1,1
0.926080000,0,1,1,1,1,1,1,1
0.929366500,1,1,1,1,1,1,1,1
0.934296333,0,1,1,1,1,1,1,1
0.940871000,1,1,1,1,1,1,1,1
0.985262750,0,1,1,1,1,1,1,1
0.986907083,1,1,1,1,1,1,1,1
0.988551250,0,1,1,1,1,1,1,1
0.990196000,1,1,1,1,1,1,1,1
0.991841333,0,1,1,1,1,1,1,1
1.001704250,1,1,1,1,1,1,1,1
1.004991083,0,1,1,1,1,1,1,1
1.006634167,1,1,1,1,1,1,1,1
1.008277583,0,1,1,1,1,1,1,1
1.011564500,1,1,1,1,1,1,1,1
1.013207000,0,1,1,1,1,1,1,1
1.021419167,1,1,1,1,1,1,1,1
1.024703917,0,1,1,1,1,1,1,1
1.027989250,1,1,1,1,1,1,1,1
1.032916000,0,1,1,1,1,1,1,1
1.039485917,1,1,1,1,1,1,1,1
1.083935417,0,1,1,1,1,1,1,1
1.085577333,1,1,1,1,1,1,1,1
1.087219500,0,1,1,1,1,1,1,1
1.088861417,1,1,1,1,1,1,1,1
1.090503667,0,1,1,1,1,1,1,1
1.092906167,0,1,1,1,1,1,1,1
