Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-0.000601250,0,1,1,1,1,1,1,1
0.000000000,1,1,1,1,1,1,1,1
0.001647583,0,1,1,1,1,1,1,1
0.003295250,1,1,1,1,1,1,1,1
0.004942667,0,1,1,1,1,1,1,1
0.014826333,1,1,1,1,1,1,1,1
0.018120500,0,1,1,1,1,1,1,1
0.019766583,1,1,1,1,1,1,1,1
0.021413000,0,1,1,1,1,1,1,1
0.023059667,1,1,1,1,1,1,1,1
0.026351833,0,1,1,1,1,1,1,1
0.032937250,1,1,1,1,1,1,1,1
0.037880000,0,1,1,1,1,1,1,1
0.041173917,1,1,1,1,1,1,1,1
0.042821167,0,1,1,1,1,1,1,1
0.046115417,1,1,1,1,1,1,1,1
0.047761917,0,1,1,1,1,1,1,1
0.054350750,1,1,1,1,1,1,1,1
0.097168333,0,1,1,1,1,1,1,1
0.098814583,1,1,1,1,1,1,1,1
0.100460917,0,1,1,1,1,1,1,1
0.102107500,1,1,1,1,1,1,1,1
0.103754083,0,1,1,1,1,1,1,1
0.113633333,1,1,1,1,1,1,1,1
0.116927583,0,1,1,1,1,1,1,1
0.118574417,1,1,1,1,1,1,1,1
0.120221417,0,1,1,1,1,1,1,1
0.121868750,1,1,1,1,1,1,1,1
0.125162333,0,1,1,1,1,1,1,1
0.131749417,1,1,1,1,1,1,1,1
0.136688083,0,1,1,1,1,1,1,1
0.139980500,1,1,1,1,1,1,1,1
0.141627583,0,1,1,1,1,1,1,1
0.144921583,1,1,1,1,1,1,1,1
0.146568917,0,1,1,1,1,1,1,1
0.153157667,1,1,1,1,1,1,1,1
0.196080083,0,1,1,1,1,1,1,1
0.197727167,1,1,1,1,1,1,1,1
0.199374417,0,1,1,1,1,1,1,1
0.201021417,1,1,1,1,1,1,1,1
0.202668167,0,1,1,1,1,1,1,1
0.212546667,1,1,1,1,1,1,1,1
0.215840667,0,1,1,1,1,1,1,1
0.217488167,1,1,1,1,1,1,1,1
0.219135667,0,1,1,1,1,1,1,1
0.220783000,1,1,1,1,1,1,1,1
0.224077167,0,1,1,1,1,1,1,1
0.230668750,1,1,1,1,1,1,1,1
0.235613750,0,1,1,1,1,1,1,1
0.238909833,1,1,1,1,1,1,1,1
0.240558000,0,1,1,1,1,1,1,1
0.243854333,1,1,1,1,1,1,1,1
0.245502583,0,1,1,1,1,1,1,1
0.252092000,1,1,1,1,1,1,1,1
0.294911833,0,1,1,1,1,1,1,1
0.296558083,1,1,1,1,1,1,1,1
0.298204750,0,1,1,1,1,1,1,1
0.299851083,1,1,1,1,1,1,1,1
0.301497500,0,1,1,1,1,1,1,1
0.311378750,1,1,1,1,1,1,1,1
0.314674167,0,1,1,1,1,1,1,1
0.316321333,1,1,1,1,1,1,1,1
0.317969083,0,1,1,1,1,1,1,1
0.319616583,1,1,1,1,1,1,1,1
0.322911417,0,1,1,1,1,1,1,1
0.329501333,1,1,1,1,1,1,1,1
0.334442583,0,1,1,1,1,1,1,1
0.337735167,1,1,1,1,1,1,1,1
0.339382583,0,1,1,1,1,1,1,1
0.342677083,1,1,1,1,1,1,1,1
0.344324000,0,1,1,1,1,1,1,1
0.350913250,1,1,1,1,1,1,1,1
0.393741417,0,1,1,1,1,1,1,1
0.395388583,1,1,1,1,1,1,1,1
0.397035583,0,1,1,1,1,1,1,1
0.398683000,1,1,1,1,1,1,1,1
0.400330667,0,1,1,1,1,1,1,1
0.410214583,1,1,1,1,1,1,1,1
0.413510500,0,1,1,1,1,1,1,1
0.415158167,1,1,1,1,1,1,1,1
0.416806250,0,1,1,1,1,1,1,1
0.418454333,1,1,1,1,1,1,1,1
0.421750583,0,1,1,1,1,1,1,1
0.428343083,1,1,1,1,1,1,1,1
0.433287833,0,1,1,1,1,1,1,1
0.436583000,1,1,1,1,1,1,1,1
0.438229667,0,1,1,1,1,1,1,1
0.441524500,1,1,1,1,1,1,1,1
0.443171667,0,1,1,1,1,1,1,1
0.449762667,1,1,1,1,1,1,1,1
0.492682750,0,1,1,1,1,1,1,1
0.494329083,1,1,1,1,1,1,1,1
0.495975667,0,1,1,1,1,1,1,1
0.497622750,1,1,1,1,1,1,1,1
0.499269833,0,1,1,1,1,1,1,1
0.509150917,1,1,1,1,1,1,1,1
0.512444333,0,1,1,1,1,1,1,1
0.514090417,1,1,1,1,1,1,1,1
0.515736417,0,1,1,1,1,1,1,1
0.517382417,1,1,1,1,1,1,1,1
