Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-0.021577917,1,1,1,1,1,1,1,1
-0.001644667,0,1,1,1,1,1,1,1
0.000000000,1,1,1,1,1,1,1,1
0.001644833,0,1,1,1,1,1,1,1
0.003289833,1,1,1,1,1,1,1,1
0.004934667,0,1,1,1,1,1,1,1
0.014800667,1,1,1,1,1,1,1,1
0.018089250,0,1,1,1,1,1,1,1
0.021379167,1,1,1,1,1,1,1,1
0.023024000,0,1,1,1,1,1,1,1
0.024668667,1,1,1,1,1,1,1,1
0.026313667,0,1,1,1,1,1,1,1
0.034537167,1,1,1,1,1,1,1,1
0.037826917,0,1,1,1,1,1,1,1
0.039471833,1,1,1,1,1,1,1,1
0.046049250,0,1,1,1,1,1,1,1
0.054269667,1,1,1,1,1,1,1,1
0.096997750,0,1,1,1,1,1,1,1
0.098642250,1,1,1,1,1,1,1,1
0.100286083,0,1,1,1,1,1,1,1
0.101930417,1,1,1,1,1,1,1,1
0.103574000,0,1,1,1,1,1,1,1
0.113440167,1,1,1,1,1,1,1,1
0.116729333,0,1,1,1,1,1,1,1
0.120019333,1,1,1,1,1,1,1,1
0.121663833,0,1,1,1,1,1,1,1
0.123308417,1,1,1,1,1,1,1,1
0.124952583,0,1,1,1,1,1,1,1
0.133174583,1,1,1,1,1,1,1,1
0.136463917,0,1,1,1,1,1,1,1
0.138108583,1,1,1,1,1,1,1,1
0.144684167,0,1,1,1,1,1,1,1
0.152900583,1,1,1,1,1,1,1,1
0.195730417,0,1,1,1,1,1,1,1
0.197373917,1,1,1,1,1,1,1,1
0.199017833,0,1,1,1,1,1,1,1
0.200661750,1,1,1,1,1,1,1,1
0.202305333,0,1,1,1,1,1,1,1
0.212170417,1,1,1,1,1,1,1,1
0.215458333,0,1,1,1,1,1,1,1
0.218746417,1,1,1,1,1,1,1,1
0.220390750,0,1,1,1,1,1,1,1
0.222035000,1,1,1,1,1,1,1,1
0.223679250,0,1,1,1,1,1,1,1
0.231899333,1,1,1,1,1,1,1,1
0.235187333,0,1,1,1,1,1,1,1
0.236831250,1,1,1,1,1,1,1,1
0.243406750,0,1,1,1,1,1,1,1
0.251627083,1,1,1,1,1,1,1,1
0.294476250,0,1,1,1,1,1,1,1
0.296120083,1,1,1,1,1,1,1,1
0.297764167,0,1,1,1,1,1,1,1
0.299408000,1,1,1,1,1,1,1,1
0.301052667,0,1,1,1,1,1,1,1
0.310920583,1,1,1,1,1,1,1,1
0.314210083,0,1,1,1,1,1,1,1
0.317499667,1,1,1,1,1,1,1,1
0.319144417,0,1,1,1,1,1,1,1
0.320789000,1,1,1,1,1,1,1,1
0.322433750,0,1,1,1,1,1,1,1
0.330659250,1,1,1,1,1,1,1,1
0.333950250,0,1,1,1,1,1,1,1
0.335594083,1,1,1,1,1,1,1,1
0.342172417,0,1,1,1,1,1,1,1
0.350394250,1,1,1,1,1,1,1,1
0.393048750,0,1,1,1,1,1,1,1
0.394693083,1,1,1,1,1,1,1,1
0.396337750,0,1,1,1,1,1,1,1
0.397982250,1,1,1,1,1,1,1,1
0.399626667,0,1,1,1,1,1,1,1
0.409492667,1,1,1,1,1,1,1,1
0.412782917,0,1,1,1,1,1,1,1
