Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-0.006032083,0,1,1,1,1,1,1,1
-0.000000000,1,1,1,1,1,1,1,1
0.003287250,0,1,1,1,1,1,1,1
0.006574750,1,1,1,1,1,1,1,1
0.011504000,0,1,1,1,1,1,1,1
0.018080500,1,1,1,1,1,1,1,1
0.023013083,0,1,1,1,1,1,1,1
0.024657083,1,1,1,1,1,1,1,1
0.027945000,0,1,1,1,1,1,1,1
0.031234500,1,1,1,1,1,1,1,1
0.032879333,0,1,1,1,1,1,1,1
0.037816250,1,1,1,1,1,1,1,1
0.082233250,0,1,1,1,1,1,1,1
0.083878083,1,1,1,1,1,1,1,1
0.085523083,0,1,1,1,1,1,1,1
0.087168417,1,1,1,1,1,1,1,1
0.088814333,0,1,1,1,1,1,1,1
0.098687833,1,1,1,1,1,1,1,1
0.101978583,0,1,1,1,1,1,1,1
0.105268917,1,1,1,1,1,1,1,1
0.110203500,0,1,1,1,1,1,1,1
0.116783000,1,1,1,1,1,1,1,1
0.121717750,0,1,1,1,1,1,1,1
0.123361583,1,1,1,1,1,1,1,1
0.126650417,0,1,1,1,1,1,1,1
0.129938417,1,1,1,1,1,1,1,1
0.131582833,0,1,1,1,1,1,1,1
0.136515833,1,1,1,1,1,1,1,1
0.181016333,0,1,1,1,1,1,1,1
0.182660833,1,1,1,1,1,1,1,1
0.184305333,0,1,1,1,1,1,1,1
0.185949500,1,1,1,1,1,1,1,1
0.187593833,0,1,1,1,1,1,1,1
0.197460500,1,1,1,1,1,1,1,1
0.200750000,0,1,1,1,1,1,1,1
0.204039500,1,1,1,1,1,1,1,1
0.208972500,0,1,1,1,1,1,1,1
0.215550167,1,1,1,1,1,1,1,1
0.220483500,0,1,1,1,1,1,1,1
0.222127833,1,1,1,1,1,1,1,1
0.225416583,0,1,1,1,1,1,1,1
0.228705583,1,1,1,1,1,1,1,1
0.230349583,0,1,1,1,1,1,1,1
0.235280833,1,1,1,1,1,1,1,1
0.279674833,0,1,1,1,1,1,1,1
0.281319250,1,1,1,1,1,1,1,1
0.282963750,0,1,1,1,1,1,1,1
0.284608750,1,1,1,1,1,1,1,1
0.286253250,0,1,1,1,1,1,1,1
0.296118667,1,1,1,1,1,1,1,1
0.299405333,0,1,1,1,1,1,1,1
0.302692083,1,1,1,1,1,1,1,1
0.307624417,0,1,1,1,1,1,1,1
0.314202250,1,1,1,1,1,1,1,1
0.319136250,0,1,1,1,1,1,1,1
0.320780500,1,1,1,1,1,1,1,1
0.324068917,0,1,1,1,1,1,1,1
0.327356833,1,1,1,1,1,1,1,1
0.329000750,0,1,1,1,1,1,1,1
0.333933000,1,1,1,1,1,1,1,1
0.378334667,0,1,1,1,1,1,1,1
0.379978417,1,1,1,1,1,1,1,1
0.381622167,0,1,1,1,1,1,1,1
0.383265917,1,1,1,1,1,1,1,1
0.384909833,0,1,1,1,1,1,1,1
0.394772500,1,1,1,1,1,1,1,1
0.398060500,0,1,1,1,1,1,1,1
0.401348500,1,1,1,1,1,1,1,1
0.406280417,0,1,1,1,1,1,1,1
0.412856833,1,1,1,1,1,1,1,1
0.417789583,0,1,1,1,1,1,1,1
0.419433667,1,1,1,1,1,1,1,1
0.422722250,0,1,1,1,1,1,1,1
0.426010583,1,1,1,1,1,1,1,1
0.427654750,0,1,1,1,1,1,1,1
0.432587833,1,1,1,1,1,1,1,1
0.477191917,0,1,1,1,1,1,1,1
0.478836083,1,1,1,1,1,1,1,1
0.480480500,0,1,1,1,1,1,1,1
0.482124750,1,1,1,1,1,1,1,1
0.483768750,0,1,1,1,1,1,1,1
0.493635083,1,1,1,1,1,1,1,1
0.496922833,0,1,1,1,1,1,1,1
0.500209500,1,1,1,1,1,1,1,1
0.505140500,0,1,1,1,1,1,1,1
0.511716083,1,1,1,1,1,1,1,1
0.516648417,0,1,1,1,1,1,1,1
0.518292417,1,1,1,1,1,1,1,1
0.521580750,0,1,1,1,1,1,1,1
0.524869250,1,1,1,1,1,1,1,1
0.526513583,0,1,1,1,1,1,1,1
0.531446333,1,1,1,1,1,1,1,1
0.575738000,0,1,1,1,1,1,1,1
0.577382000,1,1,1,1,1,1,1,1
0.579025833,0,1,1,1,1,1,1,1
0.580669500,1,1,1,1,1,1,1,1
0.582313417,0,1,1,1,1,1,1,1
0.592177750,1,1,1,1,1,1,1,1
0.595465833,0,1,1,1,1,1,1,1
0.598754833,1,1,1,1,1,1,1,1
0.603689750,0,1,1,1,1,1,1,1
0.610269000,1,1,1,1,1,1,1,1
0.615203917,0,1,1,1,1,1,1,1
0.616848833,1,1,1,1,1,1,1,1
0.620139500,0,1,1,1,1,1,1,1
0.623431083,1,1,1,1,1,1,1,1
0.625076917,0,1,1,1,1,1,1,1
0.630013000,1,1,1,1,1,1,1,1
0.674428250,0,1,1,1,1,1,1,1
0.676072167,1,1,1,1,1,1,1,1
0.677717417,0,1,1,1,1,1,1,1
0.679363000,1,1,1,1,1,1,1,1
0.681008833,0,1,1,1,1,1,1,1
0.690881583,1,1,1,1,1,1,1,1
0.694171500,0,1,1,1,1,1,1,1
0.697460750,1,1,1,1,1,1,1,1
0.702393500,0,1,1,1,1,1,1,1
0.708972583,1,1,1,1,1,1,1,1
0.713907000,0,1,1,1,1,1,1,1
0.715551667,1,1,1,1,1,1,1,1
0.718842083,0,1,1,1,1,1,1,1
0.722131417,1,1,1,1,1,1,1,1
0.723775417,0,1,1,1,1,1,1,1
0.728708333,1,1,1,1,1,1,1,1
0.773216750,0,1,1,1,1,1,1,1
0.774861333,1,1,1,1,1,1,1,1
0.776506000,0,1,1,1,1,1,1,1
0.778150500,1,1,1,1,1,1,1,1
0.779794750,0,1,1,1,1,1,1,1
0.789667500,1,1,1,1,1,1,1,1
0.792957750,0,1,1,1,1,1,1,1
0.796248667,1,1,1,1,1,1,1,1
0.801184750,0,1,1,1,1,1,1,1
0.807766333,1,1,1,1,1,1,1,1
0.812701583,0,1,1,1,1,1,1,1
0.814345667,1,1,1,1,1,1,1,1
0.817634667,0,1,1,1,1,1,1,1
0.820923500,1,1,1,1,1,1,1,1
0.822568417,0,1,1,1,1,1,1,1
0.827504167,1,1,1,1,1,1,1,1
0.872048333,0,1,1,1,1,1,1,1
0.873694917,1,1,1,1,1,1,1,1
0.875341583,0,1,1,1,1,1,1,1
0.876988250,1,1,1,1,1,1,1,1
0.878635333,0,1,1,1,1,1,1,1
0.888512167,1,1,1,1,1,1,1,1
0.891803667,0,1,1,1,1,1,1,1
0.895095583,1,1,1,1,1,1,1,1
0.900031750,0,1,1,1,1,1,1,1
0.906614500,1,1,1,1,1,1,1,1
0.911551750,0,1,1,1,1,1,1,1
0.913197000,1,1,1,1,1,1,1,1
0.916488417,0,1,1,1,1,1,1,1
0.919779917,1,1,1,1,1,1,1,1
0.921425250,0,1,1,1,1,1,1,1
0.926363583,1,1,1,1,1,1,1,1
0.970804083,0,1,1,1,1,1,1,1
0.972450250,1,1,1,1,1,1,1,1
0.974096583,0,1,1,1,1,1,1,1
0.975742917,1,1,1,1,1,1,1,1
0.977389083,0,1,1,1,1,1,1,1
0.987267167,1,1,1,1,1,1,1,1
0.990560417,0,1,1,1,1,1,1,1
0.993853833,1,1,1,1,1,1,1,1
0.998793917,0,1,1,1,1,1,1,1
1.005380417,1,1,1,1,1,1,1,1
1.010315500,0,1,1,1,1,1,1,1
1.011959583,1,1,1,1,1,1,1,1
1.015248667,0,1,1,1,1,1,1,1
1.018536167,1,1,1,1,1,1,1,1
