Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-0.005230500,0,1,1,1,1,1,1,1
0.000000000,1,1,1,1,1,1,1,1
0.003293250,0,1,1,1,1,1,1,1
0.013171333,1,1,1,1,1,1,1,1
0.014817833,0,1,1,1,1,1,1,1
0.018110833,1,1,1,1,1,1,1,1
0.062560000,0,1,1,1,1,1,1,1
0.064205917,1,1,1,1,1,1,1,1
0.065852000,0,1,1,1,1,1,1,1
0.067497667,1,1,1,1,1,1,1,1
0.069143917,0,1,1,1,1,1,1,1
0.079020667,1,1,1,1,1,1,1,1
0.082312833,0,1,1,1,1,1,1,1
0.083958500,1,1,1,1,1,1,1,1
0.087251083,0,1,1,1,1,1,1,1
0.088897333,1,1,1,1,1,1,1,1
0.092189500,0,1,1,1,1,1,1,1
0.098774250,1,1,1,1,1,1,1,1
0.102067250,0,1,1,1,1,1,1,1
0.111947917,1,1,1,1,1,1,1,1
0.113595500,0,1,1,1,1,1,1,1
0.116889917,1,1,1,1,1,1,1,1
0.161451417,0,1,1,1,1,1,1,1
0.163097750,1,1,1,1,1,1,1,1
0.164743917,0,1,1,1,1,1,1,1
0.166389917,1,1,1,1,1,1,1,1
0.168036083,0,1,1,1,1,1,1,1
0.177915750,1,1,1,1,1,1,1,1
0.181208000,0,1,1,1,1,1,1,1
0.182853667,1,1,1,1,1,1,1,1
0.186145917,0,1,1,1,1,1,1,1
0.187792167,1,1,1,1,1,1,1,1
0.191084333,0,1,1,1,1,1,1,1
0.197668667,1,1,1,1,1,1,1,1
0.200961417,0,1,1,1,1,1,1,1
0.210838500,1,1,1,1,1,1,1,1
0.212484667,0,1,1,1,1,1,1,1
0.215776083,1,1,1,1,1,1,1,1
0.260236583,0,1,1,1,1,1,1,1
0.261884083,1,1,1,1,1,1,1,1
0.263530833,0,1,1,1,1,1,1,1
0.265176333,1,1,1,1,1,1,1,1
0.266823000,0,1,1,1,1,1,1,1
0.276699667,1,1,1,1,1,1,1,1
0.279993000,0,1,1,1,1,1,1,1
0.281640083,1,1,1,1,1,1,1,1
0.284933500,0,1,1,1,1,1,1,1
0.286580667,1,1,1,1,1,1,1,1
0.289876333,0,1,1,1,1,1,1,1
0.296463417,1,1,1,1,1,1,1,1
0.299755917,0,1,1,1,1,1,1,1
0.309635750,1,1,1,1,1,1,1,1
0.311281917,0,1,1,1,1,1,1,1
0.314573583,1,1,1,1,1,1,1,1
0.359025583,0,1,1,1,1,1,1,1
0.360672667,1,1,1,1,1,1,1,1
0.362319667,0,1,1,1,1,1,1,1
0.363966333,1,1,1,1,1,1,1,1
0.365613417,0,1,1,1,1,1,1,1
0.375494250,1,1,1,1,1,1,1,1
0.378789417,0,1,1,1,1,1,1,1
0.380437000,1,1,1,1,1,1,1,1
0.383732333,0,1,1,1,1,1,1,1
0.385379583,1,1,1,1,1,1,1,1
0.388673500,0,1,1,1,1,1,1,1
0.395259583,1,1,1,1,1,1,1,1
0.398552000,0,1,1,1,1,1,1,1
0.408430000,1,1,1,1,1,1,1,1
0.410076333,0,1,1,1,1,1,1,1
0.413368583,1,1,1,1,1,1,1,1
0.457929583,0,1,1,1,1,1,1,1
0.459576167,1,1,1,1,1,1,1,1
0.461222167,0,1,1,1,1,1,1,1
0.462868250,1,1,1,1,1,1,1,1
0.464515250,0,1,1,1,1,1,1,1
0.474394833,1,1,1,1,1,1,1,1
0.477687583,0,1,1,1,1,1,1,1
0.479334083,1,1,1,1,1,1,1,1
0.482626333,0,1,1,1,1,1,1,1
0.484271917,1,1,1,1,1,1,1,1
0.487564000,0,1,1,1,1,1,1,1
0.494149250,1,1,1,1,1,1,1,1
0.497441167,0,1,1,1,1,1,1,1
0.507322917,1,1,1,1,1,1,1,1
0.508970417,0,1,1,1,1,1,1,1
0.512265000,1,1,1,1,1,1,1,1
0.556744583,0,1,1,1,1,1,1,1
0.558391667,1,1,1,1,1,1,1,1
0.560038500,0,1,1,1,1,1,1,1
0.561685500,1,1,1,1,1,1,1,1
0.563332500,0,1,1,1,1,1,1,1
0.573217250,1,1,1,1,1,1,1,1
0.576514000,0,1,1,1,1,1,1,1
0.578162083,1,1,1,1,1,1,1,1
0.581458833,0,1,1,1,1,1,1,1
0.583107500,1,1,1,1,1,1,1,1
0.586404500,0,1,1,1,1,1,1,1
0.592996417,1,1,1,1,1,1,1,1
0.596293750,0,1,1,1,1,1,1,1
0.606180417,1,1,1,1,1,1,1,1
0.607828250,0,1,1,1,1,1,1,1
0.611123000,1,1,1,1,1,1,1,1
0.655605167,0,1,1,1,1,1,1,1
0.657252750,1,1,1,1,1,1,1,1
0.658900000,0,1,1,1,1,1,1,1
0.660546500,1,1,1,1,1,1,1,1
0.662193417,0,1,1,1,1,1,1,1
0.672076583,1,1,1,1,1,1,1,1
0.675370417,0,1,1,1,1,1,1,1
0.677017417,1,1,1,1,1,1,1,1
0.680311500,0,1,1,1,1,1,1,1
0.681959333,1,1,1,1,1,1,1,1
0.685255250,0,1,1,1,1,1,1,1
0.691848583,1,1,1,1,1,1,1,1
0.695143667,0,1,1,1,1,1,1,1
0.705029833,1,1,1,1,1,1,1,1
0.706677667,0,1,1,1,1,1,1,1
0.709972583,1,1,1,1,1,1,1,1
0.754554500,0,1,1,1,1,1,1,1
0.756202417,1,1,1,1,1,1,1,1
0.757850083,0,1,1,1,1,1,1,1
0.759497583,1,1,1,1,1,1,1,1
0.761145083,0,1,1,1,1,1,1,1
0.771029083,1,1,1,1,1,1,1,1
0.774323333,0,1,1,1,1,1,1,1
0.775969583,1,1,1,1,1,1,1,1
0.779263667,0,1,1,1,1,1,1,1
0.780911333,1,1,1,1,1,1,1,1
0.784205250,0,1,1,1,1,1,1,1
0.790792500,1,1,1,1,1,1,1,1
0.794086750,0,1,1,1,1,1,1,1
0.803968000,1,1,1,1,1,1,1,1
0.805616000,0,1,1,1,1,1,1,1
0.808911583,1,1,1,1,1,1,1,1
0.853605583,0,1,1,1,1,1,1,1
0.855253083,1,1,1,1,1,1,1,1
0.856901250,0,1,1,1,1,1,1,1
0.858548667,1,1,1,1,1,1,1,1
0.860196000,0,1,1,1,1,1,1,1
0.870076583,1,1,1,1,1,1,1,1
0.873370667,0,1,1,1,1,1,1,1
0.875017000,1,1,1,1,1,1,1,1
0.878311750,0,1,1,1,1,1,1,1
0.879959000,1,1,1,1,1,1,1,1
0.883252750,0,1,1,1,1,1,1,1
0.883601500,0,1,1,1,1,1,1,1
