Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-0.043845500,1,1,1,1,1,1,1,1
-0.001646333,0,1,1,1,1,1,1,1
0.000000000,1,1,1,1,1,1,1,1
0.001646750,0,1,1,1,1,1,1,1
0.003293250,1,1,1,1,1,1,1,1
0.004940333,0,1,1,1,1,1,1,1
0.014823083,1,1,1,1,1,1,1,1
0.018116667,0,1,1,1,1,1,1,1
0.019763083,1,1,1,1,1,1,1,1
0.021410500,0,1,1,1,1,1,1,1
0.024703417,1,1,1,1,1,1,1,1
0.027995583,0,1,1,1,1,1,1,1
0.032934417,1,1,1,1,1,1,1,1
0.037873250,0,1,1,1,1,1,1,1
0.041165167,1,1,1,1,1,1,1,1
0.047750667,0,1,1,1,1,1,1,1
0.054336250,1,1,1,1,1,1,1,1
0.097265250,0,1,1,1,1,1,1,1
0.098912417,1,1,1,1,1,1,1,1
0.100559917,0,1,1,1,1,1,1,1
0.102207583,1,1,1,1,1,1,1,1
0.103856417,0,1,1,1,1,1,1,1
0.113746250,1,1,1,1,1,1,1,1
0.117043750,0,1,1,1,1,1,1,1
0.118692417,1,1,1,1,1,1,1,1
0.120341500,0,1,1,1,1,1,1,1
0.123637500,1,1,1,1,1,1,1,1
0.126932583,0,1,1,1,1,1,1,1
0.131876000,1,1,1,1,1,1,1,1
0.136820417,0,1,1,1,1,1,1,1
0.140116083,1,1,1,1,1,1,1,1
0.146709167,0,1,1,1,1,1,1,1
0.153300167,1,1,1,1,1,1,1,1
0.196130917,0,1,1,1,1,1,1,1
0.197777917,1,1,1,1,1,1,1,1
0.199426500,0,1,1,1,1,1,1,1
0.201074833,1,1,1,1,1,1,1,1
0.202722583,0,1,1,1,1,1,1,1
0.212608833,1,1,1,1,1,1,1,1
0.215904333,0,1,1,1,1,1,1,1
0.217552417,1,1,1,1,1,1,1,1
0.219201000,0,1,1,1,1,1,1,1
0.222498417,1,1,1,1,1,1,1,1
0.225796500,0,1,1,1,1,1,1,1
0.230741667,1,1,1,1,1,1,1,1
0.235684917,0,1,1,1,1,1,1,1
0.238979583,1,1,1,1,1,1,1,1
0.245569083,0,1,1,1,1,1,1,1
0.252157500,1,1,1,1,1,1,1,1
0.295108750,0,1,1,1,1,1,1,1
0.296757500,1,1,1,1,1,1,1,1
0.298406667,0,1,1,1,1,1,1,1
0.300055583,1,1,1,1,1,1,1,1
0.301704417,0,1,1,1,1,1,1,1
0.311595750,1,1,1,1,1,1,1,1
0.314891500,0,1,1,1,1,1,1,1
0.316538500,1,1,1,1,1,1,1,1
0.318185750,0,1,1,1,1,1,1,1
0.321480583,1,1,1,1,1,1,1,1
0.324775250,0,1,1,1,1,1,1,1
0.329717417,1,1,1,1,1,1,1,1
0.334658500,0,1,1,1,1,1,1,1
0.337953333,1,1,1,1,1,1,1,1
0.344541583,0,1,1,1,1,1,1,1
0.351132750,1,1,1,1,1,1,1,1
0.393972417,0,1,1,1,1,1,1,1
0.395621000,1,1,1,1,1,1,1,1
0.397269500,0,1,1,1,1,1,1,1
0.398918583,1,1,1,1,1,1,1,1
0.400566250,0,1,1,1,1,1,1,1
0.410458667,1,1,1,1,1,1,1,1
0.413755500,0,1,1,1,1,1,1,1
0.415402750,1,1,1,1,1,1,1,1
0.417050333,0,1,1,1,1,1,1,1
0.420345583,1,1,1,1,1,1,1,1
0.423641167,0,1,1,1,1,1,1,1
0.428584417,1,1,1,1,1,1,1,1
0.433528500,0,1,1,1,1,1,1,1
0.436823750,1,1,1,1,1,1,1,1
0.443414417,0,1,1,1,1,1,1,1
0.450003083,1,1,1,1,1,1,1,1
0.492806583,0,1,1,1,1,1,1,1
0.494452750,1,1,1,1,1,1,1,1
0.496099583,0,1,1,1,1,1,1,1
0.497746167,1,1,1,1,1,1,1,1
0.499393167,0,1,1,1,1,1,1,1
0.509270833,1,1,1,1,1,1,1,1
0.512562333,0,1,1,1,1,1,1,1
0.514208083,1,1,1,1,1,1,1,1
0.515854917,0,1,1,1,1,1,1,1
0.519150083,1,1,1,1,1,1,1,1
0.522443417,0,1,1,1,1,1,1,1
0.527383833,1,1,1,1,1,1,1,1
0.532324083,0,1,1,1,1,1,1,1
0.535617083,1,1,1,1,1,1,1,1
0.542201583,0,1,1,1,1,1,1,1
0.548787417,1,1,1,1,1,1,1,1
0.591693833,0,1,1,1,1,1,1,1
0.593340167,1,1,1,1,1,1,1,1
0.594986833,0,1,1,1,1,1,1,1
0.596633500,1,1,1,1,1,1,1,1
0.598280167,0,1,1,1,1,1,1,1
0.608161750,1,1,1,1,1,1,1,1
0.611457417,0,1,1,1,1,1,1,1
0.613105333,1,1,1,1,1,1,1,1
0.614753167,0,1,1,1,1,1,1,1
0.618047917,1,1,1,1,1,1,1,1
0.621344917,0,1,1,1,1,1,1,1
0.626288667,1,1,1,1,1,1,1,1
0.631231083,0,1,1,1,1,1,1,1
0.634526500,1,1,1,1,1,1,1,1
0.641119250,0,1,1,1,1,1,1,1
0.647708667,1,1,1,1,1,1,1,1
0.675685167,1,1,1,1,1,1,1,1
