Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-0.009144583,1,1,1,1,1,1,1,1
-0.001646083,0,1,1,1,1,1,1,1
0.000000000,1,1,1,1,1,1,1,1
0.001646667,0,1,1,1,1,1,1,1
0.003292917,1,1,1,1,1,1,1,1
0.004939250,0,1,1,1,1,1,1,1
0.014821167,1,1,1,1,1,1,1,1
0.018116417,0,1,1,1,1,1,1,1
0.021410500,1,1,1,1,1,1,1,1
0.023057583,0,1,1,1,1,1,1,1
0.024704417,1,1,1,1,1,1,1,1
0.027998167,0,1,1,1,1,1,1,1
0.032937917,1,1,1,1,1,1,1,1
0.037876583,0,1,1,1,1,1,1,1
0.039522583,1,1,1,1,1,1,1,1
0.047754500,0,1,1,1,1,1,1,1
0.052694500,1,1,1,1,1,1,1,1
0.097263750,0,1,1,1,1,1,1,1
0.098910000,1,1,1,1,1,1,1,1
0.100556333,0,1,1,1,1,1,1,1
0.102203250,1,1,1,1,1,1,1,1
0.103850583,0,1,1,1,1,1,1,1
0.113736500,1,1,1,1,1,1,1,1
0.117033167,0,1,1,1,1,1,1,1
0.120329250,1,1,1,1,1,1,1,1
0.121977833,0,1,1,1,1,1,1,1
0.123625250,1,1,1,1,1,1,1,1
0.126920500,0,1,1,1,1,1,1,1
0.131863667,1,1,1,1,1,1,1,1
0.136807250,0,1,1,1,1,1,1,1
0.138455417,1,1,1,1,1,1,1,1
0.146694083,0,1,1,1,1,1,1,1
0.151638167,1,1,1,1,1,1,1,1
0.196112167,0,1,1,1,1,1,1,1
0.197759083,1,1,1,1,1,1,1,1
0.199406000,0,1,1,1,1,1,1,1
0.201052917,1,1,1,1,1,1,1,1
0.202699500,0,1,1,1,1,1,1,1
0.212579750,1,1,1,1,1,1,1,1
0.215872917,0,1,1,1,1,1,1,1
0.219166083,1,1,1,1,1,1,1,1
0.220812250,0,1,1,1,1,1,1,1
0.222458000,1,1,1,1,1,1,1,1
0.225750083,0,1,1,1,1,1,1,1
0.230690083,1,1,1,1,1,1,1,1
0.235633417,0,1,1,1,1,1,1,1
0.237280750,1,1,1,1,1,1,1,1
