Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-0.007171750,0,1,1,1,1,1,1,1
0.000000000,1,1,1,1,1,1,1,1
0.003292833,0,1,1,1,1,1,1,1
0.004938667,1,1,1,1,1,1,1,1
0.006584333,0,1,1,1,1,1,1,1
0.008229917,1,1,1,1,1,1,1,1
0.009876083,0,1,1,1,1,1,1,1
0.019751583,1,1,1,1,1,1,1,1
0.062569667,0,1,1,1,1,1,1,1
0.064216917,1,1,1,1,1,1,1,1
0.065865000,0,1,1,1,1,1,1,1
0.067513250,1,1,1,1,1,1,1,1
0.069161500,0,1,1,1,1,1,1,1
0.079044167,1,1,1,1,1,1,1,1
0.082336167,0,1,1,1,1,1,1,1
0.098801583,1,1,1,1,1,1,1,1
0.102095250,0,1,1,1,1,1,1,1
0.103742333,1,1,1,1,1,1,1,1
0.105389333,0,1,1,1,1,1,1,1
0.107036500,1,1,1,1,1,1,1,1
0.108683833,0,1,1,1,1,1,1,1
0.118567083,1,1,1,1,1,1,1,1
0.161488583,0,1,1,1,1,1,1,1
0.163135583,1,1,1,1,1,1,1,1
0.164783667,0,1,1,1,1,1,1,1
0.166430750,1,1,1,1,1,1,1,1
0.168077750,0,1,1,1,1,1,1,1
0.177961917,1,1,1,1,1,1,1,1
0.181257500,0,1,1,1,1,1,1,1
0.197738417,1,1,1,1,1,1,1,1
0.201034250,0,1,1,1,1,1,1,1
0.202682167,1,1,1,1,1,1,1,1
0.204330583,0,1,1,1,1,1,1,1
0.205977917,1,1,1,1,1,1,1,1
0.207625583,0,1,1,1,1,1,1,1
0.217510750,1,1,1,1,1,1,1,1
0.260535333,0,1,1,1,1,1,1,1
0.262182083,1,1,1,1,1,1,1,1
0.263828500,0,1,1,1,1,1,1,1
0.265475333,1,1,1,1,1,1,1,1
0.267121750,0,1,1,1,1,1,1,1
0.277001833,1,1,1,1,1,1,1,1
0.280294750,0,1,1,1,1,1,1,1
0.296755000,1,1,1,1,1,1,1,1
0.300044417,0,1,1,1,1,1,1,1
0.301688917,1,1,1,1,1,1,1,1
0.303333583,0,1,1,1,1,1,1,1
0.304978333,1,1,1,1,1,1,1,1
0.306623083,0,1,1,1,1,1,1,1
