Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-0.002180583,0,1,1,1,1,1,1,1
-0.000000000,1,1,1,1,1,1,1,1
0.003291667,0,1,1,1,1,1,1,1
0.004937167,1,1,1,1,1,1,1,1
0.008227833,0,1,1,1,1,1,1,1
0.009873000,1,1,1,1,1,1,1,1
0.011518333,0,1,1,1,1,1,1,1
0.018100750,1,1,1,1,1,1,1,1
0.023038583,0,1,1,1,1,1,1,1
0.031275000,1,1,1,1,1,1,1,1
0.032921750,0,1,1,1,1,1,1,1
0.037861417,1,1,1,1,1,1,1,1
0.082416833,0,1,1,1,1,1,1,1
0.084063250,1,1,1,1,1,1,1,1
0.085709583,0,1,1,1,1,1,1,1
0.087355500,1,1,1,1,1,1,1,1
0.089002083,0,1,1,1,1,1,1,1
0.098882000,1,1,1,1,1,1,1,1
0.102174250,0,1,1,1,1,1,1,1
0.103820000,1,1,1,1,1,1,1,1
0.107111083,0,1,1,1,1,1,1,1
0.108756667,1,1,1,1,1,1,1,1
0.110402167,0,1,1,1,1,1,1,1
0.116986250,1,1,1,1,1,1,1,1
0.121925917,0,1,1,1,1,1,1,1
0.130158500,1,1,1,1,1,1,1,1
0.131804917,0,1,1,1,1,1,1,1
0.136744000,1,1,1,1,1,1,1,1
0.181207583,0,1,1,1,1,1,1,1
0.182854750,1,1,1,1,1,1,1,1
0.184502000,0,1,1,1,1,1,1,1
0.186149417,1,1,1,1,1,1,1,1
0.187796667,0,1,1,1,1,1,1,1
0.197679500,1,1,1,1,1,1,1,1
0.200975167,0,1,1,1,1,1,1,1
0.202622750,1,1,1,1,1,1,1,1
0.205917833,0,1,1,1,1,1,1,1
0.207565250,1,1,1,1,1,1,1,1
0.209211833,0,1,1,1,1,1,1,1
0.215795250,1,1,1,1,1,1,1,1
0.220731750,0,1,1,1,1,1,1,1
0.228956583,1,1,1,1,1,1,1,1
0.230602250,0,1,1,1,1,1,1,1
0.235536667,1,1,1,1,1,1,1,1
0.279979417,0,1,1,1,1,1,1,1
0.281625917,1,1,1,1,1,1,1,1
0.283272833,0,1,1,1,1,1,1,1
0.284919750,1,1,1,1,1,1,1,1
0.286566833,0,1,1,1,1,1,1,1
0.296451750,1,1,1,1,1,1,1,1
0.299745833,0,1,1,1,1,1,1,1
0.301392667,1,1,1,1,1,1,1,1
0.304686500,0,1,1,1,1,1,1,1
0.306334083,1,1,1,1,1,1,1,1
0.307981750,0,1,1,1,1,1,1,1
0.314569583,1,1,1,1,1,1,1,1
0.319510667,0,1,1,1,1,1,1,1
0.327747833,1,1,1,1,1,1,1,1
0.329394833,0,1,1,1,1,1,1,1
0.334334500,1,1,1,1,1,1,1,1
0.378886917,0,1,1,1,1,1,1,1
0.380533167,1,1,1,1,1,1,1,1
0.382179250,0,1,1,1,1,1,1,1
0.383825667,1,1,1,1,1,1,1,1
0.385472583,0,1,1,1,1,1,1,1
0.395355583,1,1,1,1,1,1,1,1
0.398650917,0,1,1,1,1,1,1,1
0.400298333,1,1,1,1,1,1,1,1
0.403593333,0,1,1,1,1,1,1,1
0.405240417,1,1,1,1,1,1,1,1
0.406887417,0,1,1,1,1,1,1,1
0.413475417,1,1,1,1,1,1,1,1
0.418414750,0,1,1,1,1,1,1,1
0.426645500,1,1,1,1,1,1,1,1
0.428291917,0,1,1,1,1,1,1,1
0.433231167,1,1,1,1,1,1,1,1
0.477773667,0,1,1,1,1,1,1,1
0.479419417,1,1,1,1,1,1,1,1
0.481064500,0,1,1,1,1,1,1,1
0.482709833,1,1,1,1,1,1,1,1
0.484355167,0,1,1,1,1,1,1,1
0.494225667,1,1,1,1,1,1,1,1
0.497515417,0,1,1,1,1,1,1,1
0.499160167,1,1,1,1,1,1,1,1
0.502450417,0,1,1,1,1,1,1,1
0.504095000,1,1,1,1,1,1,1,1
0.505739750,0,1,1,1,1,1,1,1
0.512319250,1,1,1,1,1,1,1,1
0.517254583,0,1,1,1,1,1,1,1
0.525479083,1,1,1,1,1,1,1,1
0.527123917,0,1,1,1,1,1,1,1
0.532057833,1,1,1,1,1,1,1,1
0.576483583,0,1,1,1,1,1,1,1
0.578129000,1,1,1,1,1,1,1,1
