Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-0.031064250,1,1,1,1,1,1,1,1
-0.001647500,0,1,1,1,1,1,1,1
0.000000000,1,1,1,1,1,1,1,1
0.001647583,0,1,1,1,1,1,1,1
0.003295000,1,1,1,1,1,1,1,1
0.004941750,0,1,1,1,1,1,1,1
0.014822833,1,1,1,1,1,1,1,1
0.018117833,0,1,1,1,1,1,1,1
0.019766500,1,1,1,1,1,1,1,1
0.021414500,0,1,1,1,1,1,1,1
0.024711333,1,1,1,1,1,1,1,1
0.026359250,0,1,1,1,1,1,1,1
0.034601083,1,1,1,1,1,1,1,1
0.037898667,0,1,1,1,1,1,1,1
0.041195667,1,1,1,1,1,1,1,1
0.046140917,0,1,1,1,1,1,1,1
0.052733333,1,1,1,1,1,1,1,1
0.097193250,0,1,1,1,1,1,1,1
0.098839917,1,1,1,1,1,1,1,1
0.100487167,0,1,1,1,1,1,1,1
0.102134333,1,1,1,1,1,1,1,1
0.103781750,0,1,1,1,1,1,1,1
0.113659000,1,1,1,1,1,1,1,1
0.116950333,0,1,1,1,1,1,1,1
0.118596500,1,1,1,1,1,1,1,1
0.120243083,0,1,1,1,1,1,1,1
0.123536583,1,1,1,1,1,1,1,1
0.125183417,0,1,1,1,1,1,1,1
0.133419500,1,1,1,1,1,1,1,1
0.136714417,0,1,1,1,1,1,1,1
0.140008500,1,1,1,1,1,1,1,1
0.144948250,0,1,1,1,1,1,1,1
0.151537917,1,1,1,1,1,1,1,1
0.196123167,0,1,1,1,1,1,1,1
0.197770333,1,1,1,1,1,1,1,1
0.199417333,0,1,1,1,1,1,1,1
0.201064167,1,1,1,1,1,1,1,1
0.202711000,0,1,1,1,1,1,1,1
0.212592750,1,1,1,1,1,1,1,1
0.215886250,0,1,1,1,1,1,1,1
0.217532667,1,1,1,1,1,1,1,1
0.219179750,0,1,1,1,1,1,1,1
0.222473500,1,1,1,1,1,1,1,1
0.224120917,0,1,1,1,1,1,1,1
0.232359417,1,1,1,1,1,1,1,1
0.235655167,0,1,1,1,1,1,1,1
0.238949583,1,1,1,1,1,1,1,1
0.243889833,0,1,1,1,1,1,1,1
0.250477833,1,1,1,1,1,1,1,1
0.294960750,0,1,1,1,1,1,1,1
0.296606917,1,1,1,1,1,1,1,1
0.298253667,0,1,1,1,1,1,1,1
0.299900167,1,1,1,1,1,1,1,1
0.301546667,0,1,1,1,1,1,1,1
0.311427583,1,1,1,1,1,1,1,1
0.314720417,0,1,1,1,1,1,1,1
0.316366417,1,1,1,1,1,1,1,1
0.318012917,0,1,1,1,1,1,1,1
0.321304917,1,1,1,1,1,1,1,1
0.322950333,0,1,1,1,1,1,1,1
0.331183833,1,1,1,1,1,1,1,1
0.334478167,0,1,1,1,1,1,1,1
0.337772833,1,1,1,1,1,1,1,1
0.342716833,0,1,1,1,1,1,1,1
0.349308833,1,1,1,1,1,1,1,1
0.393768083,0,1,1,1,1,1,1,1
0.395415750,1,1,1,1,1,1,1,1
0.397064167,0,1,1,1,1,1,1,1
0.398712000,1,1,1,1,1,1,1,1
0.400360333,0,1,1,1,1,1,1,1
0.410241083,1,1,1,1,1,1,1,1
0.413534500,0,1,1,1,1,1,1,1
0.415180667,1,1,1,1,1,1,1,1
0.416826917,0,1,1,1,1,1,1,1
0.420120417,1,1,1,1,1,1,1,1
