Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-0.032636083,1,1,1,1,1,1,1,1
-0.001645583,0,1,1,1,1,1,1,1
0.000000000,1,1,1,1,1,1,1,1
0.001645667,0,1,1,1,1,1,1,1
0.003291083,1,1,1,1,1,1,1,1
0.004938167,0,1,1,1,1,1,1,1
0.014810583,1,1,1,1,1,1,1,1
0.018101333,0,1,1,1,1,1,1,1
0.024683083,1,1,1,1,1,1,1,1
0.026329083,0,1,1,1,1,1,1,1
0.032911333,1,1,1,1,1,1,1,1
0.037847167,0,1,1,1,1,1,1,1
0.039492500,1,1,1,1,1,1,1,1
0.041138000,0,1,1,1,1,1,1,1
0.042783750,1,1,1,1,1,1,1,1
0.046076583,0,1,1,1,1,1,1,1
0.052664667,1,1,1,1,1,1,1,1
0.097097833,0,1,1,1,1,1,1,1
0.098743667,1,1,1,1,1,1,1,1
0.100389917,0,1,1,1,1,1,1,1
0.102036000,1,1,1,1,1,1,1,1
0.103681750,0,1,1,1,1,1,1,1
0.113560083,1,1,1,1,1,1,1,1
0.116854167,0,1,1,1,1,1,1,1
0.123436333,1,1,1,1,1,1,1,1
0.125081417,0,1,1,1,1,1,1,1
0.131663167,1,1,1,1,1,1,1,1
0.136602917,0,1,1,1,1,1,1,1
0.138248667,1,1,1,1,1,1,1,1
0.139894750,0,1,1,1,1,1,1,1
0.141540500,1,1,1,1,1,1,1,1
0.144832333,0,1,1,1,1,1,1,1
0.151416000,1,1,1,1,1,1,1,1
0.195942417,0,1,1,1,1,1,1,1
0.197584000,1,1,1,1,1,1,1,1
0.199228250,0,1,1,1,1,1,1,1
0.200873917,1,1,1,1,1,1,1,1
0.202520250,0,1,1,1,1,1,1,1
0.212396667,1,1,1,1,1,1,1,1
0.215688583,0,1,1,1,1,1,1,1
0.222271417,1,1,1,1,1,1,1,1
0.223917417,0,1,1,1,1,1,1,1
0.230500583,1,1,1,1,1,1,1,1
0.235436833,0,1,1,1,1,1,1,1
0.237081333,1,1,1,1,1,1,1,1
0.238727083,0,1,1,1,1,1,1,1
0.240373000,1,1,1,1,1,1,1,1
0.243664417,0,1,1,1,1,1,1,1
0.250247750,1,1,1,1,1,1,1,1
0.294666333,0,1,1,1,1,1,1,1
0.296311417,1,1,1,1,1,1,1,1
0.297957000,0,1,1,1,1,1,1,1
0.299602333,1,1,1,1,1,1,1,1
0.301247833,0,1,1,1,1,1,1,1
0.311118333,1,1,1,1,1,1,1,1
0.314408417,0,1,1,1,1,1,1,1
0.320989750,1,1,1,1,1,1,1,1
0.322635000,0,1,1,1,1,1,1,1
0.329219167,1,1,1,1,1,1,1,1
0.334156333,0,1,1,1,1,1,1,1
0.335801417,1,1,1,1,1,1,1,1
0.337446250,0,1,1,1,1,1,1,1
0.339091000,1,1,1,1,1,1,1,1
0.342381083,0,1,1,1,1,1,1,1
0.348962667,1,1,1,1,1,1,1,1
0.393377917,0,1,1,1,1,1,1,1
0.395023250,1,1,1,1,1,1,1,1
0.396668833,0,1,1,1,1,1,1,1
0.398314583,1,1,1,1,1,1,1,1
0.399960250,0,1,1,1,1,1,1,1
0.409836417,1,1,1,1,1,1,1,1
0.413127417,0,1,1,1,1,1,1,1
0.419708083,1,1,1,1,1,1,1,1
0.421353250,0,1,1,1,1,1,1,1
0.427935917,1,1,1,1,1,1,1,1
0.432872583,0,1,1,1,1,1,1,1
0.434517083,1,1,1,1,1,1,1,1
0.436161917,0,1,1,1,1,1,1,1
0.437806500,1,1,1,1,1,1,1,1
0.441096500,0,1,1,1,1,1,1,1
0.447675833,1,1,1,1,1,1,1,1
0.492073500,0,1,1,1,1,1,1,1
0.493718833,1,1,1,1,1,1,1,1
0.495363333,0,1,1,1,1,1,1,1
0.497007833,1,1,1,1,1,1,1,1
0.498652250,0,1,1,1,1,1,1,1
0.508518833,1,1,1,1,1,1,1,1
0.511807333,0,1,1,1,1,1,1,1
0.518387500,1,1,1,1,1,1,1,1
0.520032500,0,1,1,1,1,1,1,1
0.526609667,1,1,1,1,1,1,1,1
0.531542083,0,1,1,1,1,1,1,1
0.533187250,1,1,1,1,1,1,1,1
0.534833833,0,1,1,1,1,1,1,1
0.536479333,1,1,1,1,1,1,1,1
0.539770333,0,1,1,1,1,1,1,1
0.546356833,1,1,1,1,1,1,1,1
0.590903333,0,1,1,1,1,1,1,1
0.592548667,1,1,1,1,1,1,1,1
0.594193917,0,1,1,1,1,1,1,1
0.595839250,1,1,1,1,1,1,1,1
0.597485250,0,1,1,1,1,1,1,1
0.607360583,1,1,1,1,1,1,1,1
0.610650500,0,1,1,1,1,1,1,1
0.617233833,1,1,1,1,1,1,1,1
0.618879917,0,1,1,1,1,1,1,1
0.623406583,0,1,1,1,1,1,1,1
